seed	subsample_n	icc_supra	icc_sub	msbtwn_supra	msbtwn_sub	mswthn_supra	mswthn_sub
206	75	0.292	0.296	0.292	0.453	0.719	0.932
206	125	0.314	0.294	0.305	0.377	0.677	0.863
206	175	0.408	0.356	0.379	0.463	0.572	0.81
206	225	0.351	0.31	0.377	0.482	0.696	0.966
206	275	0.345	0.318	0.348	0.467	0.653	0.886
206	325	0.334	0.316	0.304	0.422	0.609	0.81
206	375	0.367	0.313	0.362	0.445	0.639	0.884
206	425	0.323	0.29	0.312	0.422	0.664	0.931
206	475	0.345	0.306	0.33	0.433	0.63	0.884
206	525	0.306	0.275	0.297	0.399	0.682	0.923
1869	25	0.365	0.337	0.373	0.425	0.681	0.948
1869	75	0.317	0.288	0.413	0.435	0.907	1.17
1869	125	0.416	0.363	0.439	0.554	0.635	0.858
1869	175	0.281	0.275	0.269	0.387	0.695	0.927
1869	225	0.32	0.282	0.306	0.387	0.674	0.925
1869	275	0.357	0.302	0.358	0.441	0.665	0.969
1869	325	0.392	0.344	0.424	0.537	0.668	0.94
1869	375	0.338	0.293	0.328	0.415	0.658	0.89
1869	425	0.339	0.304	0.319	0.414	0.624	0.847
1869	475	0.314	0.29	0.321	0.437	0.705	0.964
1869	525	0.332	0.292	0.335	0.448	0.677	0.946
7791	25	0.393	0.312	0.414	0.4	0.653	0.976
7791	75	0.382	0.329	0.411	0.456	0.682	0.979
7791	125	0.332	0.267	0.287	0.319	0.595	0.911
7791	175	0.389	0.335	0.38	0.453	0.613	0.865
7791	225	0.363	0.328	0.356	0.457	0.643	0.883
7791	275	0.337	0.312	0.321	0.432	0.64	0.864
7791	325	0.316	0.279	0.31	0.383	0.689	0.934
7791	375	0.332	0.297	0.335	0.469	0.7	0.971
7791	425	0.319	0.297	0.317	0.421	0.702	0.938
7791	475	0.402	0.35	0.461	0.571	0.692	0.977
7791	525	0.309	0.287	0.316	0.421	0.708	0.955
3160	25	0.366	0.345	0.412	0.543	0.748	0.995
3160	75	0.387	0.331	0.382	0.412	0.632	0.904
3160	125	0.27	0.259	0.274	0.387	0.763	1.042
3160	175	0.349	0.323	0.349	0.451	0.653	0.909
3160	225	0.42	0.36	0.4	0.497	0.559	0.769
3160	275	0.371	0.341	0.37	0.495	0.635	0.846
3160	325	0.379	0.333	0.391	0.516	0.641	0.892
3160	375	0.355	0.318	0.33	0.43	0.607	0.846
3160	425	0.342	0.31	0.36	0.476	0.711	0.969
3160	475	0.364	0.317	0.35	0.447	0.624	0.868
3160	525	0.367	0.315	0.35	0.444	0.608	0.813
8607	25	0.379	0.313	0.419	0.401	0.724	0.985
8607	75	0.431	0.367	0.444	0.581	0.623	0.917
8607	125	0.266	0.262	0.318	0.417	0.894	1.169
8607	175	0.369	0.327	0.417	0.496	0.737	0.998
8607	225	0.353	0.327	0.375	0.491	0.682	0.913
8607	275	0.33	0.275	0.324	0.375	0.666	0.939
8607	325	0.328	0.291	0.352	0.445	0.735	0.985
8607	375	0.385	0.318	0.382	0.468	0.636	0.911
8607	425	0.336	0.303	0.345	0.483	0.685	0.942
8607	475	0.381	0.336	0.381	0.472	0.618	0.857
8607	525	0.34	0.305	0.338	0.455	0.666	0.913
1952	25	0.495	0.428	0.583	0.751	0.613	1.039
1952	75	0.348	0.323	0.327	0.393	0.621	0.878
1952	125	0.408	0.352	0.441	0.498	0.656	0.983
1952	175	0.35	0.303	0.343	0.403	0.647	0.893
1952	225	0.349	0.322	0.338	0.445	0.647	0.882
1952	275	0.323	0.301	0.323	0.428	0.69	0.897
1952	325	0.359	0.312	0.361	0.451	0.632	0.869
1952	375	0.351	0.318	0.359	0.475	0.667	0.909
1952	425	0.354	0.327	0.337	0.448	0.639	0.887
1952	475	0.344	0.291	0.354	0.431	0.68	0.927
1952	525	0.374	0.338	0.392	0.507	0.66	0.89
9760	25	0.48	0.408	0.548	0.542	0.608	0.85
9760	75	0.204	0.251	0.197	0.361	0.801	0.992
9760	125	0.282	0.258	0.293	0.34	0.775	1.031
9760	175	0.337	0.286	0.33	0.362	0.688	0.93
9760	225	0.274	0.258	0.294	0.392	0.795	1.037
9760	275	0.319	0.285	0.309	0.392	0.676	0.927
9760	325	0.305	0.273	0.285	0.366	0.664	0.91
9760	375	0.372	0.312	0.346	0.424	0.586	0.837
9760	425	0.347	0.324	0.328	0.456	0.623	0.845
9760	475	0.29	0.29	0.295	0.47	0.727	0.995
9760	525	0.363	0.326	0.376	0.489	0.674	0.914
3427	25	0.224	0.222	0.242	0.233	0.852	1.023
3427	75	0.262	0.245	0.222	0.275	0.644	0.917
3427	125	0.378	0.303	0.372	0.4	0.634	0.885
3427	175	0.322	0.3	0.341	0.444	0.726	1.005
3427	225	0.403	0.352	0.357	0.464	0.547	0.763
3427	275	0.319	0.296	0.319	0.39	0.703	0.936
3427	325	0.353	0.307	0.347	0.439	0.644	0.899
3427	375	0.331	0.307	0.352	0.474	0.729	0.98
3427	425	0.349	0.315	0.358	0.467	0.67	0.94
3427	475	0.375	0.329	0.344	0.457	0.581	0.82
3427	525	0.341	0.308	0.35	0.462	0.688	0.958
720	25	0.292	0.267	0.298	0.325	0.806	0.952
720	75	0.316	0.295	0.257	0.386	0.576	0.868
720	125	0.37	0.317	0.387	0.434	0.671	0.915
720	175	0.264	0.27	0.266	0.391	0.748	0.964
720	225	0.404	0.353	0.412	0.511	0.633	0.901
720	275	0.368	0.315	0.356	0.422	0.622	0.867
720	325	0.398	0.325	0.388	0.439	0.602	0.855
720	375	0.357	0.329	0.374	0.513	0.698	0.931
720	425	0.346	0.296	0.363	0.462	0.693	0.975
720	475	0.337	0.314	0.371	0.513	0.734	0.974
720	525	0.343	0.314	0.353	0.469	0.687	0.936
