seed	subsample_n	icc_supra	icc_sub	msbtwn_supra	msbtwn_sub	mswthn_supra	mswthn_sub
5948	175	0.223	0.228	0.219	0.31	0.779	1.036
5948	225	0.331	0.302	0.331	0.398	0.684	0.906
5948	275	0.322	0.287	0.352	0.423	0.747	1.016
5948	325	0.337	0.29	0.368	0.449	0.726	1.009
5948	375	0.299	0.267	0.32	0.39	0.757	1.038
5948	425	0.353	0.33	0.374	0.501	0.687	0.922
5948	475	0.331	0.292	0.358	0.442	0.724	1.004
5948	525	0.345	0.301	0.358	0.456	0.693	0.971
7923	25	0.387	0.324	0.293	0.298	0.475	0.718
7923	75	0.391	0.333	0.392	0.464	0.646	0.95
7923	125	0.313	0.276	0.312	0.4	0.685	0.961
7923	175	0.363	0.317	0.345	0.446	0.634	0.866
7923	225	0.307	0.273	0.297	0.425	0.696	0.991
7923	275	0.329	0.296	0.303	0.404	0.632	0.848
7923	325	0.377	0.331	0.387	0.51	0.66	0.902
7923	375	0.328	0.289	0.273	0.364	0.555	0.775
7923	425	0.345	0.31	0.326	0.437	0.629	0.885
7923	475	0.341	0.285	0.329	0.401	0.64	0.874
7923	525	0.346	0.317	0.345	0.447	0.654	0.891
6583	25	0.438	0.361	0.485	0.441	0.638	0.911
6583	75	0.405	0.307	0.316	0.356	0.486	0.763
6583	125	0.352	0.306	0.309	0.385	0.592	0.825
6583	175	0.324	0.274	0.361	0.423	0.766	1.071
6583	225	0.282	0.273	0.273	0.377	0.716	0.95
6583	275	0.338	0.309	0.335	0.449	0.662	0.916
6583	325	0.399	0.341	0.404	0.489	0.606	0.843
6583	375	0.361	0.332	0.386	0.497	0.705	0.953
6583	425	0.348	0.303	0.317	0.441	0.606	0.845
6583	475	0.366	0.327	0.371	0.464	0.644	0.891
6583	525	0.37	0.335	0.373	0.485	0.634	0.868
1015	25	0.337	0.319	0.325	0.424	0.707	0.893
1015	75	0.354	0.302	0.373	0.42	0.698	0.987
1015	125	0.286	0.258	0.226	0.287	0.582	0.82
1015	175	0.284	0.264	0.288	0.368	0.732	0.964
1015	225	0.352	0.298	0.349	0.397	0.655	0.905
1015	275	0.417	0.363	0.417	0.549	0.595	0.823
1015	325	0.333	0.311	0.343	0.461	0.704	0.938
1015	375	0.324	0.294	0.317	0.417	0.682	0.925
1015	425	0.368	0.317	0.384	0.46	0.666	0.91
1015	475	0.37	0.319	0.353	0.431	0.61	0.844
1015	525	0.353	0.324	0.36	0.491	0.67	0.92
1661	25	0.461	0.397	0.393	0.414	0.475	0.707
1661	75	0.289	0.304	0.286	0.413	0.739	0.905
1661	125	0.312	0.277	0.279	0.36	0.63	0.834
1661	175	0.385	0.353	0.435	0.554	0.706	0.929
1661	225	0.344	0.325	0.335	0.461	0.644	0.87
1661	275	0.34	0.318	0.362	0.475	0.696	0.965
1661	325	0.331	0.305	0.344	0.432	0.697	0.965
1661	375	0.374	0.328	0.379	0.494	0.636	0.874
1661	425	0.315	0.288	0.333	0.438	0.742	1.043
1661	475	0.34	0.311	0.337	0.46	0.659	0.874
1661	525	0.324	0.288	0.313	0.406	0.665	0.914
4914	25	0.512	0.375	0.463	0.389	0.459	0.723
4914	75	0.369	0.323	0.367	0.416	0.636	0.848
4914	125	0.343	0.321	0.404	0.514	0.799	1.069
4914	175	0.33	0.31	0.285	0.386	0.599	0.808
4914	225	0.389	0.311	0.379	0.435	0.618	0.916
4914	275	0.352	0.303	0.338	0.446	0.638	0.885
4914	325	0.348	0.3	0.351	0.419	0.66	0.893
