con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.347	0.273
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.0	0.359	0.293
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.0	0.269	0.172
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.0	0.299	0.205
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-5.0	0.326	0.24
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.348	0.271
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.0	0.367	0.298
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.0	0.244	0.197
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.0	0.267	0.222
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-5.0	0.283	0.245
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.293	0.264
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.0	0.299	0.279
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.0	0.242	0.188
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.0	0.27	0.215
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-5.0	0.291	0.24
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.304	0.258
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.0	0.312	0.271
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.0	0.225	0.181
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.0	0.253	0.213
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-5.0	0.277	0.243
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.296	0.268
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.0	0.31	0.286
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-3.0	0.234	0.169
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-4.0	0.258	0.189
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-5.0	0.273	0.206
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.28	0.218
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-7.0	0.282	0.226
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.0	0.182	0.102
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.0	0.216	0.131
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-5.0	0.248	0.158
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.276	0.178
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.0	0.297	0.188
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.0	0.157	0.09
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.0	0.187	0.119
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-5.0	0.216	0.146
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.244	0.167
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.0	0.267	0.179
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.0	0.199	0.105
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.0	0.236	0.131
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-5.0	0.27	0.156
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.296	0.174
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.0	0.314	0.181
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.0	0.184	0.086
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.0	0.218	0.11
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-5.0	0.251	0.134
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.281	0.153
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.0	0.304	0.165
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.0	0.162	0.075
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.0	0.192	0.099
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-5.0	0.222	0.123
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.25	0.144
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.0	0.274	0.159
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.0	0.195	0.081
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.0	0.232	0.102
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-5.0	0.265	0.122
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.292	0.136
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.0	0.311	0.142
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	0.138	0.171
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	0.154	0.201
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	0.169	0.229
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.18	0.253
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.185	0.269
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	0.174	0.167
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	0.197	0.19
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	0.222	0.217
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.247	0.251
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.271	0.288
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	0.231	0.19
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	0.247	0.213
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	0.255	0.236
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.257	0.257
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	0.253	0.274
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	0.101	0.124
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	0.117	0.141
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	0.131	0.154
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.138	0.157
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.136	0.15
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	0.099	0.133
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	0.109	0.151
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	0.124	0.171
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.141	0.194
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	0.158	0.217
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	0.181	0.141
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	0.196	0.16
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	0.207	0.176
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.21	0.189
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	0.209	0.2
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	0.051	0.103
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-4.0	0.057	0.125
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-5.0	0.063	0.145
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.069	0.158
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.0	0.072	0.164
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-3.0	0.106	0.14
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-4.0	0.121	0.172
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-5.0	0.138	0.21
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.156	0.247
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-7.0	0.172	0.278
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-3.0	0.086	0.151
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-4.0	0.089	0.173
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-5.0	0.091	0.189
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.094	0.2
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-7.0	0.098	0.205
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-3.0	0.075	0.092
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-4.0	0.083	0.115
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-5.0	0.091	0.136
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.098	0.151
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-7.0	0.103	0.158
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-3.0	0.118	0.143
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-4.0	0.137	0.18
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-5.0	0.159	0.223
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.183	0.266
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-7.0	0.204	0.303
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-3.0	0.097	0.161
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-4.0	0.103	0.184
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-5.0	0.107	0.201
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.11	0.212
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-7.0	0.113	0.218
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-3.0	0.008	0.052
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-4.0	0.02	0.061
