con	motion	model	fwhm	avg_left	avg_right
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.036	0.023
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.031	0.021
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.026	0.019
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.059	0.017
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.03	0.016
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.015	0.015
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.009	0.013
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.008	0.013
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.024	-0.012
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.012	-0.008
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.003	-0.004
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	-0.002	-0.001
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	-0.005	-0.0
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.047	-0.026
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.04	-0.012
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.035	-0.004
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.03	-0.0
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.027	0.002
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.064	0.053
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.041	0.044
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.027	0.037
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.02	0.031
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.017	0.027
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.028	-0.026
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.017	-0.015
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.01	-0.007
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-7.2	0.005	-0.002
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-8.4	0.003	0.001
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	-0.0	-0.008
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	-0.002	-0.005
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	-0.002	-0.003
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	-0.002	-0.001
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	-0.001	0.0
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.005	-0.034
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	-0.01	-0.025
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	-0.013	-0.016
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	-0.012	-0.009
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	-0.009	-0.004
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	-0.002	-0.018
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	-0.001	-0.008
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.002	-0.002
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.004	0.001
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.005	0.002
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.006	-0.008
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.002	-0.005
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.001	-0.003
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.001	-0.001
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.001	-0.0
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.029	-0.024
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.011	-0.016
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.004	-0.01
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.002	-0.005
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.001	-0.001
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.01	-0.01
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.006	-0.005
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.006	-0.001
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.007	0.001
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.007	0.002
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	0.104	0.029
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	0.113	0.065
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.116	0.087
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.115	0.096
contrast-Lgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.113	0.099
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.46	0.336
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	0.364	0.285
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.292	0.25
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.239	0.226
contrast-Lgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.2	0.207
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	-0.097	-0.133
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	-0.062	-0.068
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	-0.032	-0.019
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	-0.005	0.01
contrast-Lgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.016	0.026
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	0.05	0.038
contrast-Lgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	0.041	0.056
