con	fwhm	motion	model	jaccard	spearman	run1_icc_cohensd	run2_icc_cohensd
Lgain-Neut	3.6	opt1	CueMod	0.03124768054627774	0.4609025588793074	-0.025780532711272938	0.04154826703376998
Lgain-Neut	3.6	opt1	AntMod	0.05331540081711371	0.4760653119533605	0.07614019874437027	0.12258974247772458
Lgain-Neut	3.6	opt1	FixMod	0.06165165546111886	0.46615235748618883	0.16675795053144502	0.19264683878550523
Lgain-Neut	3.6	opt2	CueMod	0.03223477802148985	0.5096020114335327	0.10661974847923684	0.11586789247867435
Lgain-Neut	3.6	opt2	AntMod	0.04988949824015716	0.5126727876162719	0.14259870934422808	0.17919307425745717
Lgain-Neut	3.6	opt2	FixMod	0.06168969387360192	0.5008354895689815	0.18676790432574802	0.2196878747121731
Lgain-Neut	3.6	opt3	CueMod	0.052844160215415686	0.4949273253812152	0.10967321415201903	0.12043060151274168
Lgain-Neut	3.6	opt3	AntMod	0.06411556006082109	0.497568918776478	0.12695428811431148	0.14785569488724226
Lgain-Neut	3.6	opt3	FixMod	0.06880310306612486	0.4790251810234788	0.12040003392180279	0.16059031785339398
Lgain-Neut	3.6	opt4	CueMod	0.045716192541920414	0.48457159166065	0.12105130491960815	0.14707692246963472
Lgain-Neut	3.6	opt4	AntMod	0.059866506931370876	0.5072085543359325	0.1499591689193369	0.16790156218310578
Lgain-Neut	3.6	opt4	FixMod	0.06764014180911931	0.5007695765297311	0.1561689131051265	0.1773321030135857
Lgain-Neut	4.8	opt1	CueMod	0.03793659791566738	0.5060900074639727	-0.06364206186263535	0.016322976914808076
Lgain-Neut	4.8	opt1	AntMod	0.06770288899998485	0.5182939949700728	0.06378761725833619	0.1168997266136398
Lgain-Neut	4.8	opt1	FixMod	0.07693889088759828	0.5022195358127094	0.15571145149002713	0.18865361692166874
Lgain-Neut	4.8	opt2	CueMod	0.04229677850108496	0.5723773250994958	0.10640652879370627	0.12828634404026884
Lgain-Neut	4.8	opt2	AntMod	0.0682897862232779	0.5656502634315913	0.13989316196323479	0.1989120157589259
Lgain-Neut	4.8	opt2	FixMod	0.08435461733733345	0.5475710156069276	0.18805033080954636	0.23958920255182634
Lgain-Neut	4.8	opt3	CueMod	0.07026903000057362	0.5619827322890137	0.1267314068310364	0.14031255267518
Lgain-Neut	4.8	opt3	AntMod	0.08520431647317547	0.5605335693156449	0.14297338095182652	0.16592763191128646
Lgain-Neut	4.8	opt3	FixMod	0.09067174326896926	0.5418216869106003	0.12301726041547731	0.17210424217056905
Lgain-Neut	4.8	opt4	CueMod	0.06256309245352702	0.5549935897992435	0.13336860332627865	0.1608156433198599
Lgain-Neut	4.8	opt4	AntMod	0.08611989363261374	0.576242968703161	0.1645648715452692	0.1776562691026281
Lgain-Neut	4.8	opt4	FixMod	0.09457279906160325	0.5692872650531264	0.16089255762364463	0.18418250618845802
Lgain-Neut	6.0	opt1	CueMod	0.04543405611253595	0.541139099072851	-0.09341939747957549	-0.005884426721664322
Lgain-Neut	6.0	opt1	AntMod	0.08212002744231126	0.5477609299210344	0.05449878626750893	0.11053840362948023
Lgain-Neut	6.0	opt1	FixMod	0.09327118374376397	0.5237435759262974	0.13817223447727348	0.17770279042517076
Lgain-Neut	6.0	opt2	CueMod	0.049981864345302864	0.6184463315232787	0.10731785417591967	0.14012286293809123
Lgain-Neut	6.0	opt2	AntMod	0.08381535885531624	0.6025364748158781	0.13533078436636456	0.21496783256309707
Lgain-Neut	6.0	opt2	FixMod	0.10514577168803703	0.5788211127193158	0.18308526499306996	0.2506938650071817
Lgain-Neut	6.0	opt3	CueMod	0.0863981081301476	0.6120891291513897	0.1400956112845032	0.15651317728367492
Lgain-Neut	6.0	opt3	AntMod	0.10627532219920435	0.60669728613441	0.15232717050480832	0.1800083487885585
Lgain-Neut	6.0	opt3	FixMod	0.11231414410979795	0.58681358891398	0.11800459117260213	0.17741385283830613
Lgain-Neut	6.0	opt4	CueMod	0.08071555486553159	0.6083947480936733	0.13784919782531188	0.16700140489772858
Lgain-Neut	6.0	opt4	AntMod	0.11161255149018656	0.6287163506517679	0.17074850471253797	0.18020014614441668
