con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.046	0.051
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.0	0.04	0.044
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.0	0.268	0.302
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.0	0.206	0.23
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-5.0	0.163	0.179
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.134	0.146
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.0	0.116	0.125
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.0	0.466	0.499
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.0	0.36	0.383
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-5.0	0.289	0.303
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.241	0.25
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.0	0.21	0.216
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.0	0.091	0.096
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.0	0.07	0.074
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-5.0	0.055	0.059
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.046	0.048
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.0	0.04	0.042
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.0	0.266	0.283
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.0	0.204	0.215
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-5.0	0.161	0.169
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.133	0.137
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.0	0.114	0.117
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-3.0	0.456	0.478
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-4.0	0.35	0.369
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-5.0	0.277	0.293
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.229	0.241
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-7.0	0.197	0.208
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.0	0.078	0.085
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.0	0.058	0.063
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-5.0	0.044	0.047
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.034	0.037
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.0	0.028	0.031
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.0	0.233	0.254
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.0	0.174	0.187
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-5.0	0.132	0.14
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.104	0.109
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.0	0.085	0.089
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.0	0.382	0.417
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.0	0.28	0.307
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-5.0	0.21	0.232
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.164	0.183
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.0	0.134	0.152
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.0	0.077	0.089
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.0	0.057	0.066
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-5.0	0.043	0.05
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.034	0.039
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.0	0.027	0.032
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.0	0.23	0.267
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.0	0.171	0.198
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-5.0	0.13	0.149
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.101	0.116
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.0	0.082	0.094
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.0	0.38	0.436
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.0	0.278	0.323
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-5.0	0.208	0.245
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.162	0.193
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.0	0.131	0.159
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	0.785	0.622
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	0.624	0.471
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	0.504	0.364
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.42	0.291
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.362	0.245
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	1.284	1.013
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	1.02	0.775
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	0.822	0.607
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.679	0.49
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.578	0.414
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	1.589	1.431
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	1.312	1.141
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	1.11	0.931
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.967	0.786
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	0.868	0.691
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	0.601	0.556
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	0.47	0.425
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	0.377	0.334
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.315	0.275
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.277	0.24
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	1.122	0.919
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	0.875	0.695
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	0.694	0.538
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.567	0.433
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	0.481	0.368
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	1.392	1.314
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	1.126	1.039
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	0.935	0.845
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.802	0.712
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	0.711	0.623
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	0.477	0.457
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-4.0	0.366	0.339
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-5.0	0.287	0.257
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.233	0.202
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.0	0.196	0.166
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-3.0	0.871	0.73
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-4.0	0.654	0.532
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-5.0	0.497	0.393
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.388	0.3
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-7.0	0.314	0.238
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-3.0	0.971	1.019
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-4.0	0.754	0.767
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-5.0	0.6	0.59
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.492	0.469
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-7.0	0.417	0.387
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-3.0	0.472	0.468
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-4.0	0.36	0.346
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-5.0	0.28	0.261
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.226	0.204
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-7.0	0.189	0.168
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-3.0	0.874	0.748
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-4.0	0.653	0.539
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-5.0	0.493	0.394
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.382	0.297
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-7.0	0.306	0.233
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-3.0	0.987	1.024
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-4.0	0.762	0.766
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-5.0	0.603	0.586
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.493	0.463
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-7.0	0.418	0.381
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-3.0	0.089	0.08
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-4.0	0.069	0.061
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-5.0	0.054	0.048
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.044	0.039
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-7.0	0.038	0.033
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-3.0	0.264	0.239
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-4.0	0.203	0.183
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-5.0	0.16	0.143
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.129	0.116
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-7.0	0.109	0.098
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-3.0	0.455	0.393
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-4.0	0.351	0.297
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-5.0	0.278	0.231
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.227	0.187
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-7.0	0.193	0.157
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-3.0	0.081	0.072
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-4.0	0.062	0.055
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-5.0	0.049	0.042
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.04	0.034
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-7.0	0.033	0.029
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-3.0	0.236	0.218
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-4.0	0.182	0.165
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-5.0	0.143	0.128
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.117	0.103
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-7.0	0.098	0.087
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-3.0	0.417	0.349
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-4.0	0.316	0.26
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-5.0	0.245	0.199
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.195	0.159
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-7.0	0.162	0.132
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-3.0	0.072	0.069
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-4.0	0.054	0.051
