con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.263	0.215
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.2	0.293	0.232
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-8.4	0.305	0.242
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.6	0.1	0.102
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.8	0.13	0.125
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.136	0.124
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.2	0.122	0.113
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-8.4	0.098	0.104
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.6	0.176	0.161
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.8	0.251	0.216
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.325	0.259
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.2	0.384	0.295
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-8.4	0.426	0.323
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.6	0.151	0.177
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.8	0.216	0.251
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.267	0.278
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.2	0.295	0.279
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-8.4	0.306	0.271
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.6	0.08	0.184
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.8	0.115	0.257
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.141	0.273
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.2	0.148	0.251
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-8.4	0.139	0.216
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-3.6	0.177	0.141
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-4.8	0.247	0.189
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.297	0.21
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-7.2	0.322	0.219
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-8.4	0.331	0.226
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.113	0.07
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.15	0.11
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.184	0.132
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.208	0.144
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.223	0.154
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.041	0.078
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.041	0.125
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.045	0.149
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.051	0.158
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.062	0.166
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.127	0.049
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.172	0.064
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.209	0.064
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.234	0.061
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.248	0.061
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.084	0.076
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.115	0.119
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.133	0.14
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.139	0.146
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.137	0.144
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.017	0.082
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.02	0.129
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.019	0.152
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.011	0.156
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.002	0.154
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.105	0.05
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.134	0.072
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.154	0.077
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.163	0.073
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.167	0.067
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	-0.049	0.026
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	-0.054	0.028
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	-0.045	0.028
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	-0.03	0.026
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	-0.012	0.026
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.098	0.087
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	0.135	0.129
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.174	0.165
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.213	0.191
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.257	0.215
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	0.087	0.056
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	0.101	0.066
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.108	0.078
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.114	0.085
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.12	0.091
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	-0.061	0.051
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	-0.061	0.076
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	-0.047	0.099
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-7.2	-0.027	0.119
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-8.4	-0.004	0.135
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-3.6	0.076	0.094
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-4.8	0.118	0.152
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	0.155	0.208
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-7.2	0.191	0.253
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-8.4	0.231	0.289
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-3.6	0.041	0.102
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-4.8	0.056	0.113
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	0.071	0.121
