con	motion	model	fwhm	avg_left	avg_right
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-4.8	-0.007	-0.005
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.008	0.008
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.016	0.016
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.021	0.021
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.163	0.167
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.116	0.13
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.092	0.108
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.079	0.092
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.072	0.08
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.048	0.036
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.07	0.05
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.081	0.056
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.085	0.054
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.082	0.049
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	-0.074	-0.051
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	-0.048	-0.032
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	-0.03	-0.015
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	-0.018	-0.005
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	-0.011	0.001
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.096	0.052
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.061	0.041
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.047	0.038
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.041	0.038
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-8.4	0.039	0.04
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-3.6	0.014	0.04
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-4.8	0.037	0.047
