con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.104	0.106
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.0	0.088	0.09
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.0	0.61	0.638
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.0	0.473	0.496
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-5.0	0.374	0.393
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.305	0.321
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.0	0.258	0.272
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.0	0.998	1.02
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.0	0.772	0.793
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-5.0	0.61	0.629
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.497	0.513
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.0	0.42	0.432
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.0	0.188	0.199
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.0	0.145	0.155
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-5.0	0.115	0.124
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.095	0.102
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.0	0.081	0.088
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.0	0.573	0.604
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.0	0.446	0.471
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-5.0	0.356	0.377
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.293	0.311
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.0	0.249	0.266
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-3.0	0.929	0.972
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-4.0	0.723	0.757
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-5.0	0.577	0.604
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.474	0.495
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-7.0	0.403	0.42
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.0	0.158	0.163
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.0	0.117	0.123
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-5.0	0.089	0.094
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.07	0.074
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.0	0.058	0.061
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.0	0.477	0.511
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.0	0.355	0.385
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-5.0	0.272	0.296
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.216	0.234
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.0	0.178	0.191
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.0	0.789	0.793
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.0	0.587	0.592
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-5.0	0.449	0.453
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.355	0.358
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.0	0.292	0.294
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.0	0.162	0.168
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.0	0.12	0.126
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-5.0	0.092	0.097
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.073	0.077
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.0	0.06	0.064
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.0	0.488	0.52
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.0	0.365	0.392
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-5.0	0.28	0.302
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.223	0.239
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.0	0.183	0.196
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.0	0.806	0.818
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.0	0.603	0.614
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-5.0	0.463	0.471
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.368	0.375
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.0	0.304	0.31
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-3.0	1.546	1.277
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-4.0	1.212	0.968
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-5.0	0.956	0.736
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.765	0.569
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-7.0	0.627	0.455
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-3.0	1.858	1.878
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-4.0	1.407	1.429
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-5.0	1.074	1.098
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.836	0.862
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-7.0	0.668	0.7
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-3.0	2.574	2.323
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-4.0	2.003	1.776
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-5.0	1.57	1.37
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	1.252	1.082
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-7.0	1.026	0.888
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-3.0	1.241	1.103
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-4.0	0.961	0.839
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-5.0	0.759	0.649
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-6.0	0.616	0.518
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-7.0	0.517	0.431
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-3.0	2.199	1.93
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-4.0	1.695	1.481
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-5.0	1.323	1.157
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-6.0	1.055	0.93
contrast-Sgain-Base	mot-opt2	mod-CueMod	fwhm-7.0	0.866	0.777
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-3.0	2.146	2.122
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-4.0	1.651	1.632
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-5.0	1.293	1.274
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-6.0	1.038	1.023
contrast-Sgain-Base	mot-opt2	mod-FixMod	fwhm-7.0	0.858	0.851
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-3.0	0.924	0.983
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-4.0	0.693	0.739
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-5.0	0.529	0.567
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.415	0.45
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.0	0.337	0.371
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-3.0	1.656	1.555
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-4.0	1.213	1.136
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-5.0	0.897	0.846
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.677	0.652
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-7.0	0.528	0.523
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-3.0	1.711	1.928
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-4.0	1.265	1.444
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-5.0	0.949	1.098
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.731	0.857
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-7.0	0.579	0.691
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-3.0	0.942	1.029
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-4.0	0.703	0.77
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-5.0	0.535	0.587
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.42	0.461
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-7.0	0.342	0.376
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-3.0	1.695	1.604
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-4.0	1.239	1.17
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-5.0	0.913	0.87
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.687	0.668
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-7.0	0.533	0.533
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-3.0	1.695	1.961
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-4.0	1.248	1.469
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-5.0	0.937	1.116
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-6.0	0.722	0.869
contrast-Sgain-Base	mot-opt4	mod-FixMod	fwhm-7.0	0.574	0.699
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-3.0	0.189	0.192
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-4.0	0.144	0.147
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-5.0	0.112	0.115
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.09	0.093
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-7.0	0.075	0.077
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-3.0	0.546	0.551
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-4.0	0.414	0.418
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-5.0	0.321	0.324
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.257	0.257
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-7.0	0.214	0.212
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-3.0	0.956	0.982
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-4.0	0.73	0.76
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-5.0	0.571	0.602
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.463	0.493
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-7.0	0.391	0.417
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-3.0	0.169	0.163
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-4.0	0.128	0.124
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-5.0	0.098	0.096
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.078	0.077
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-7.0	0.065	0.064
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-3.0	0.487	0.489
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-4.0	0.366	0.373
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-5.0	0.281	0.291
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.223	0.234
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-7.0	0.184	0.194
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-3.0	0.888	0.82
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-4.0	0.675	0.62
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-5.0	0.524	0.479
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.419	0.381
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-7.0	0.346	0.315
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-3.0	0.142	0.145
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-4.0	0.103	0.108
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-5.0	0.077	0.082
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.059	0.064
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-7.0	0.047	0.053
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-3.0	0.416	0.438
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-4.0	0.306	0.328
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-5.0	0.23	0.251
