path,DLH,RESEL
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt2_mod-CueMod_fwhm-8.4_stat-residuals.nii.gz,0.019501,237.833
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt1_mod-AntMod_fwhm-4.8_stat-residuals.nii.gz,0.1261,36.7802
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.0638738,72.6117
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-CueMod_fwhm-8.4_stat-residuals.nii.gz,0.0180408,257.083
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.0623829,74.347
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt3_mod-AntMod_fwhm-6.0_stat-residuals.nii.gz,0.0771466,60.1191
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt3_mod-AntMod_fwhm-4.8_stat-residuals.nii.gz,0.156376,29.6592
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-FixMod_fwhm-4.8_stat-residuals.nii.gz,0.137634,33.6979
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-FixMod_fwhm-3.6_stat-residuals.nii.gz,0.357141,12.9864
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt2_mod-AntMod_fwhm-6.0_stat-residuals.nii.gz,0.0678707,68.3356
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt4_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.07741,59.9146
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-AntMod_fwhm-3.6_stat-residuals.nii.gz,0.340719,13.6124
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt1_mod-CueMod_fwhm-3.6_stat-residuals.nii.gz,0.308081,15.0544
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt4_mod-AntMod_fwhm-8.4_stat-residuals.nii.gz,0.0242551,191.217
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt2_mod-AntMod_fwhm-3.6_stat-residuals.nii.gz,0.32082,14.4566
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt4_mod-CueMod_fwhm-4.8_stat-residuals.nii.gz,0.14562,31.8498
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-FixMod_fwhm-7.2_stat-residuals.nii.gz,0.0314621,147.415
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt1_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.0565072,82.0777
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt1_mod-FixMod_fwhm-7.2_stat-residuals.nii.gz,0.0301879,153.637
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt3_mod-AntMod_fwhm-7.2_stat-residuals.nii.gz,0.0414233,111.966
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-AntMod_fwhm-4.8_stat-residuals.nii.gz,0.156907,29.5588
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt2_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.0656921,70.6019
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt4_mod-CueMod_fwhm-3.6_stat-residuals.nii.gz,0.347976,13.3285
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt2_mod-FixMod_fwhm-8.4_stat-residuals.nii.gz,0.0213865,216.865
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-FixMod_fwhm-7.2_stat-residuals.nii.gz,0.039295,118.03
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt4_mod-FixMod_fwhm-4.8_stat-residuals.nii.gz,0.154505,30.0184
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-AntMod_fwhm-3.6_stat-residuals.nii.gz,0.316516,14.6532
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-AntMod_fwhm-7.2_stat-residuals.nii.gz,0.0311252,149.011
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-AntMod_fwhm-8.4_stat-residuals.nii.gz,0.0166734,278.166
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt4_mod-FixMod_fwhm-7.2_stat-residuals.nii.gz,0.0390909,118.646
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt1_mod-CueMod_fwhm-8.4_stat-residuals.nii.gz,0.0153637,301.879
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-FixMod_fwhm-7.2_stat-residuals.nii.gz,0.0322267,143.918
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.0589714,78.6481
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt1_mod-FixMod_fwhm-8.4_stat-residuals.nii.gz,0.0167735,276.506
subs-61_ses-1_task-mid_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt4_mod-AntMod_fwhm-8.4_stat-residuals.nii.gz,0.0244085,190.015
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-CueMod_fwhm-8.4_stat-residuals.nii.gz,0.0231063,200.724
subs-61_ses-1_task-mid_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-CueMod_fwhm-4.8_stat-residuals.nii.gz,0.122709,37.7967
