subject	model	motion	con	eff_est
sub-48	CueMod	opt1	Lgain-Neut	3.124438238010767
sub-48	CueMod	opt2	Lgain-Neut	2.637066358866428
sub-48	CueMod	opt3	Lgain-Neut	2.48215787859674
sub-48	CueMod	opt4	Lgain-Neut	2.4096371000868895
sub-48	FixMod	opt1	Lgain-Neut	2.982862354304076
sub-48	FixMod	opt2	Lgain-Neut	2.66677884871401
sub-48	FixMod	opt3	Lgain-Neut	2.4913681819262097
sub-48	FixMod	opt4	Lgain-Neut	2.4020169914632357
sub-64	AntMod	opt1	Lgain-Neut	11.084872687924808
sub-64	AntMod	opt2	Lgain-Neut	10.351613280883727
sub-64	AntMod	opt3	Lgain-Neut	9.831477653527983
sub-64	AntMod	opt4	Lgain-Neut	9.607903885921646
sub-64	CueMod	opt1	Lgain-Neut	3.0435158792130173
sub-64	CueMod	opt2	Lgain-Neut	2.836068040803023
sub-64	CueMod	opt3	Lgain-Neut	2.7402983745241944
sub-64	CueMod	opt4	Lgain-Neut	2.6740308030606883
sub-64	FixMod	opt1	Lgain-Neut	3.375578137677725
sub-64	FixMod	opt2	Lgain-Neut	3.1582494617721304
sub-64	FixMod	opt3	Lgain-Neut	2.9500826631341317
sub-64	FixMod	opt4	Lgain-Neut	2.889479943097035
sub-45	AntMod	opt1	Lgain-Neut	10.284658538969829
sub-45	AntMod	opt2	Lgain-Neut	9.550358818686721
sub-45	AntMod	opt3	Lgain-Neut	9.124610864910577
sub-45	AntMod	opt4	Lgain-Neut	9.124544302015888
sub-45	CueMod	opt1	Lgain-Neut	3.0339861391672525
sub-45	CueMod	opt2	Lgain-Neut	2.84861057031919
sub-45	CueMod	opt3	Lgain-Neut	2.6846398379043777
sub-45	CueMod	opt4	Lgain-Neut	2.6845999930364854
sub-45	FixMod	opt1	Lgain-Neut	3.037396029984225
sub-45	FixMod	opt2	Lgain-Neut	2.8092006060891075
sub-45	FixMod	opt3	Lgain-Neut	2.676457640734203
sub-45	FixMod	opt4	Lgain-Neut	2.675874550457716
sub-56	AntMod	opt1	Lgain-Neut	11.307477607168344
sub-56	AntMod	opt2	Lgain-Neut	10.003646020316696
sub-56	AntMod	opt3	Lgain-Neut	8.91915439924074
sub-56	AntMod	opt4	Lgain-Neut	8.851572485950864
sub-56	CueMod	opt1	Lgain-Neut	3.1512861595727264
sub-56	CueMod	opt2	Lgain-Neut	2.7698197532322153
sub-56	CueMod	opt3	Lgain-Neut	2.546861134895673
sub-56	CueMod	opt4	Lgain-Neut	2.5310005509868843
sub-56	FixMod	opt1	Lgain-Neut	3.417097410583795
sub-56	FixMod	opt2	Lgain-Neut	3.0755999688920186
sub-56	FixMod	opt3	Lgain-Neut	2.695651456908478
sub-56	FixMod	opt4	Lgain-Neut	2.6683799633929945
sub-47	AntMod	opt1	Lgain-Neut	11.33191238459937
sub-47	AntMod	opt2	Lgain-Neut	10.54155270056166
sub-47	AntMod	opt3	Lgain-Neut	10.148252444920825
sub-47	AntMod	opt4	Lgain-Neut	9.923945323614122
sub-47	CueMod	opt1	Lgain-Neut	3.245023195379612
sub-47	CueMod	opt2	Lgain-Neut	2.9547609515468265
sub-47	CueMod	opt3	Lgain-Neut	2.7371226715174037
sub-47	CueMod	opt4	Lgain-Neut	2.7019339744503874
sub-47	FixMod	opt1	Lgain-Neut	3.273984413876034
sub-47	FixMod	opt2	Lgain-Neut	3.1115149541171623
sub-47	FixMod	opt3	Lgain-Neut	3.0529651007698684
sub-47	FixMod	opt4	Lgain-Neut	2.974837135343903
sub-24	AntMod	opt1	Lgain-Neut	10.105857075662893
sub-24	AntMod	opt2	Lgain-Neut	9.508161656737183
sub-24	AntMod	opt3	Lgain-Neut	9.13042964148311
sub-24	AntMod	opt4	Lgain-Neut	8.541956392031379
sub-24	CueMod	opt1	Lgain-Neut	2.8606429615279874
sub-24	CueMod	opt2	Lgain-Neut	2.6905735049456023
sub-24	CueMod	opt3	Lgain-Neut	2.56804046674218
sub-24	CueMod	opt4	Lgain-Neut	2.427294856923493
sub-24	FixMod	opt1	Lgain-Neut	3.095184588116626
sub-24	FixMod	opt2	Lgain-Neut	2.913289141918086
sub-24	FixMod	opt3	Lgain-Neut	2.781472243039513
sub-24	FixMod	opt4	Lgain-Neut	2.582090238918722
sub-90	AntMod	opt1	Lgain-Neut	10.439543635511875
sub-90	AntMod	opt2	Lgain-Neut	9.323712449072458
sub-90	AntMod	opt3	Lgain-Neut	8.940780911750505
sub-90	AntMod	opt4	Lgain-Neut	8.931557121748286
sub-90	CueMod	opt1	Lgain-Neut	3.1404214750096187
sub-90	CueMod	opt2	Lgain-Neut	2.814119784318888
sub-90	CueMod	opt3	Lgain-Neut	2.634991889227906
sub-90	CueMod	opt4	Lgain-Neut	2.6284484811367896
sub-90	FixMod	opt1	Lgain-Neut	3.034946592146223
sub-90	FixMod	opt2	Lgain-Neut	2.759839813724422
sub-90	FixMod	opt3	Lgain-Neut	2.665715608134992
sub-90	FixMod	opt4	Lgain-Neut	2.6643601501644385
sub-55	AntMod	opt1	Lgain-Neut	9.424434377720544
sub-55	AntMod	opt2	Lgain-Neut	7.748976536127966
sub-55	AntMod	opt3	Lgain-Neut	7.2605046881628095
sub-55	AntMod	opt4	Lgain-Neut	6.333463376581586
sub-55	CueMod	opt1	Lgain-Neut	2.754208780802
sub-55	CueMod	opt2	Lgain-Neut	2.2665309708766013
sub-55	CueMod	opt3	Lgain-Neut	2.1224577768317348
sub-55	CueMod	opt4	Lgain-Neut	1.8470385198128876
sub-55	FixMod	opt1	Lgain-Neut	2.8587971018631486
sub-55	FixMod	opt2	Lgain-Neut	2.4986825465575775
sub-55	FixMod	opt3	Lgain-Neut	2.3443124172725907
sub-55	FixMod	opt4	Lgain-Neut	2.0876441427107357
sub-22	AntMod	opt1	Lgain-Neut	10.091873992204494
sub-22	AntMod	opt2	Lgain-Neut	9.156716767677798
sub-22	AntMod	opt3	Lgain-Neut	7.471340233722813
sub-22	AntMod	opt4	Lgain-Neut	7.214308741955545
sub-22	CueMod	opt1	Lgain-Neut	2.7633146895406995
sub-22	CueMod	opt2	Lgain-Neut	2.540621941918677
sub-22	CueMod	opt3	Lgain-Neut	2.0719966507068714
sub-22	CueMod	opt4	Lgain-Neut	2.033648687878991
sub-22	FixMod	opt1	Lgain-Neut	3.0724762049867227
sub-22	FixMod	opt2	Lgain-Neut	2.757196247924968
sub-22	FixMod	opt3	Lgain-Neut	2.365166953643471
sub-22	FixMod	opt4	Lgain-Neut	2.244166170052959
sub-75	AntMod	opt1	Lgain-Neut	10.350961398027259
sub-75	AntMod	opt2	Lgain-Neut	9.976929352868662
sub-75	AntMod	opt3	Lgain-Neut	8.746578076891325
sub-75	AntMod	opt4	Lgain-Neut	8.734425393127676
sub-75	CueMod	opt1	Lgain-Neut	3.0825416517831847
sub-75	CueMod	opt2	Lgain-Neut	2.8893033024274803
sub-75	CueMod	opt3	Lgain-Neut	2.4253819715498333
sub-75	CueMod	opt4	Lgain-Neut	2.416314485672352
sub-75	FixMod	opt1	Lgain-Neut	3.0265656133940224
sub-75	FixMod	opt2	Lgain-Neut	2.9473960154865955
sub-75	FixMod	opt3	Lgain-Neut	2.630371098106197
sub-75	FixMod	opt4	Lgain-Neut	2.629344887759121
sub-96	AntMod	opt1	Lgain-Neut	10.395709388810767
sub-96	AntMod	opt2	Lgain-Neut	9.20213659662863
sub-96	AntMod	opt3	Lgain-Neut	8.730918415111589
sub-96	AntMod	opt4	Lgain-Neut	8.591082841011804
sub-96	CueMod	opt1	Lgain-Neut	3.0052419946290745
sub-96	CueMod	opt2	Lgain-Neut	2.6721661161116232
sub-96	CueMod	opt3	Lgain-Neut	2.468337705066483
sub-96	CueMod	opt4	Lgain-Neut	2.4307193624016827
sub-96	FixMod	opt1	Lgain-Neut	3.1202254291178653
sub-96	FixMod	opt2	Lgain-Neut	2.808305915853156
sub-96	FixMod	opt3	Lgain-Neut	2.7058579472193736
sub-96	FixMod	opt4	Lgain-Neut	2.6649769169046786
sub-92	AntMod	opt1	Lgain-Neut	10.349926506222639
sub-92	AntMod	opt2	Lgain-Neut	9.930061814353737
sub-92	AntMod	opt3	Lgain-Neut	9.18031746517596
sub-92	AntMod	opt4	Lgain-Neut	8.562964220571171
sub-92	CueMod	opt1	Lgain-Neut	3.1106814231217235
sub-92	CueMod	opt2	Lgain-Neut	2.991512619998975
sub-92	CueMod	opt3	Lgain-Neut	2.7973732701345035
sub-92	CueMod	opt4	Lgain-Neut	2.603103116514423
sub-92	FixMod	opt1	Lgain-Neut	3.026793243727213
sub-92	FixMod	opt2	Lgain-Neut	2.859597409374425
sub-92	FixMod	opt3	Lgain-Neut	2.620055991982559
sub-92	FixMod	opt4	Lgain-Neut	2.4600831034548847
sub-37	AntMod	opt1	Lgain-Neut	10.132427257218147
sub-37	AntMod	opt2	Lgain-Neut	9.516441808835726
sub-37	AntMod	opt3	Lgain-Neut	8.98975784961528
sub-37	AntMod	opt4	Lgain-Neut	8.40867464639602
sub-37	CueMod	opt1	Lgain-Neut	2.938262558026537
sub-37	CueMod	opt2	Lgain-Neut	2.7504344474800693
sub-37	CueMod	opt3	Lgain-Neut	2.6097085677207468
sub-37	CueMod	opt4	Lgain-Neut	2.4423622674972467
sub-37	FixMod	opt1	Lgain-Neut	3.0114572018035934
sub-37	FixMod	opt2	Lgain-Neut	2.8287063631682567
sub-37	FixMod	opt3	Lgain-Neut	2.671970108739165
sub-37	FixMod	opt4	Lgain-Neut	2.4855630013865335
sub-54	AntMod	opt1	Lgain-Neut	10.881077578636475
sub-54	AntMod	opt2	Lgain-Neut	10.241707905854263
sub-54	AntMod	opt3	Lgain-Neut	9.434721135490292
sub-54	AntMod	opt4	Lgain-Neut	9.223036327852206
sub-54	CueMod	opt1	Lgain-Neut	3.1592920390075956
sub-54	CueMod	opt2	Lgain-Neut	2.9820730865015403
sub-54	CueMod	opt3	Lgain-Neut	2.685431661615051
sub-54	CueMod	opt4	Lgain-Neut	2.629399683828221
sub-54	FixMod	opt1	Lgain-Neut	3.166560450551872
sub-54	FixMod	opt2	Lgain-Neut	2.9585744669410374
sub-54	FixMod	opt3	Lgain-Neut	2.8056539404029075
sub-54	FixMod	opt4	Lgain-Neut	2.758684553134497
sub-44	AntMod	opt1	Lgain-Neut	9.989298241588784
sub-44	AntMod	opt2	Lgain-Neut	8.498869596082578
sub-44	AntMod	opt3	Lgain-Neut	8.0495189862127
sub-44	AntMod	opt4	Lgain-Neut	6.834530135642941
sub-44	CueMod	opt1	Lgain-Neut	2.788650847532651
sub-44	CueMod	opt2	Lgain-Neut	2.326730165001128
sub-44	CueMod	opt3	Lgain-Neut	2.156195012092757
sub-44	CueMod	opt4	Lgain-Neut	1.7865467321517028
sub-44	FixMod	opt1	Lgain-Neut	3.055732764774679
sub-44	FixMod	opt2	Lgain-Neut	2.7268066123212984
sub-44	FixMod	opt3	Lgain-Neut	2.6319524220605546
sub-44	FixMod	opt4	Lgain-Neut	2.295014442368495
sub-15	AntMod	opt1	Lgain-Neut	10.874985223199456
sub-15	AntMod	opt2	Lgain-Neut	10.26286976867054
sub-15	AntMod	opt3	Lgain-Neut	9.536426244767371
sub-15	AntMod	opt4	Lgain-Neut	9.536426244767371
sub-15	CueMod	opt1	Lgain-Neut	3.120807980469584
sub-15	CueMod	opt2	Lgain-Neut	2.8638906942856313
sub-15	CueMod	opt3	Lgain-Neut	2.6851844617752256
sub-15	CueMod	opt4	Lgain-Neut	2.6851844617752256
sub-15	FixMod	opt1	Lgain-Neut	3.189315574064892
sub-15	FixMod	opt2	Lgain-Neut	3.076202589187508
sub-15	FixMod	opt3	Lgain-Neut	2.856105049741978
sub-15	FixMod	opt4	Lgain-Neut	2.856105049741978
sub-83	AntMod	opt1	Lgain-Neut	10.401609984428024
sub-83	AntMod	opt2	Lgain-Neut	9.584136395472342
sub-83	AntMod	opt3	Lgain-Neut	8.994195046814689
sub-83	AntMod	opt4	Lgain-Neut	8.903418147825906
sub-83	CueMod	opt1	Lgain-Neut	3.0045715695372026
sub-83	CueMod	opt2	Lgain-Neut	2.7875073907980226
sub-83	CueMod	opt3	Lgain-Neut	2.62142233371522
sub-83	CueMod	opt4	Lgain-Neut	2.5903976069404946
sub-83	FixMod	opt1	Lgain-Neut	3.137949378027294
sub-83	FixMod	opt2	Lgain-Neut	2.8834129106915274
sub-83	FixMod	opt3	Lgain-Neut	2.7032393430878026
sub-83	FixMod	opt4	Lgain-Neut	2.682775123703124
sub-86	AntMod	opt1	Lgain-Neut	10.156167271731412
sub-86	AntMod	opt2	Lgain-Neut	9.099123438664758
sub-86	AntMod	opt3	Lgain-Neut	8.451234397389747
sub-86	AntMod	opt4	Lgain-Neut	8.22195956885838
sub-86	CueMod	opt1	Lgain-Neut	2.774603783845574
sub-86	CueMod	opt2	Lgain-Neut	2.4557758602720154
sub-86	CueMod	opt3	Lgain-Neut	2.301170318217039
sub-86	CueMod	opt4	Lgain-Neut	2.249942762280641
sub-86	FixMod	opt1	Lgain-Neut	3.1333135323886108
sub-86	FixMod	opt2	Lgain-Neut	2.8805306774257207
sub-86	FixMod	opt3	Lgain-Neut	2.6485276039988346
sub-86	FixMod	opt4	Lgain-Neut	2.5804184802274244
sub-35	AntMod	opt1	Lgain-Neut	10.185410723666758
sub-35	AntMod	opt2	Lgain-Neut	9.110275624319206
sub-35	AntMod	opt3	Lgain-Neut	7.918479201097251
sub-35	AntMod	opt4	Lgain-Neut	7.878065963334251
sub-35	CueMod	opt1	Lgain-Neut	2.931163653758958
sub-35	CueMod	opt2	Lgain-Neut	2.5675944855212753
sub-35	CueMod	opt3	Lgain-Neut	2.2028593963192185
sub-35	CueMod	opt4	Lgain-Neut	2.189387241864531
sub-35	FixMod	opt1	Lgain-Neut	3.0812117689564023
sub-35	FixMod	opt2	Lgain-Neut	2.8311771434118214
sub-35	FixMod	opt3	Lgain-Neut	2.495962569974992
sub-35	FixMod	opt4	Lgain-Neut	2.4887482294187255
sub-82	AntMod	opt1	Lgain-Neut	10.006915199180614
sub-82	AntMod	opt2	Lgain-Neut	9.067929772752755
sub-82	AntMod	opt3	Lgain-Neut	8.362609403977487
sub-82	AntMod	opt4	Lgain-Neut	8.188188297622892
sub-82	CueMod	opt1	Lgain-Neut	2.81808237261958
sub-82	CueMod	opt2	Lgain-Neut	2.562695280259481
sub-82	CueMod	opt3	Lgain-Neut	2.389311978129619
sub-82	CueMod	opt4	Lgain-Neut	2.353284457694489
sub-82	FixMod	opt1	Lgain-Neut	3.077604522223126
sub-82	FixMod	opt2	Lgain-Neut	2.776029851934064
sub-82	FixMod	opt3	Lgain-Neut	2.5220320237182996
sub-82	FixMod	opt4	Lgain-Neut	2.4530333546915197
sub-62	AntMod	opt1	Lgain-Neut	10.164338523543986
sub-62	AntMod	opt2	Lgain-Neut	9.395657682620996
sub-62	AntMod	opt3	Lgain-Neut	8.09671509920176
sub-62	AntMod	opt4	Lgain-Neut	7.9224587855839035
sub-62	CueMod	opt1	Lgain-Neut	3.015101432362009
sub-62	CueMod	opt2	Lgain-Neut	2.7360928318004767
sub-62	CueMod	opt3	Lgain-Neut	2.3392285874426486
sub-62	CueMod	opt4	Lgain-Neut	2.2970047937969915
sub-62	FixMod	opt1	Lgain-Neut	2.941727101775852
sub-62	FixMod	opt2	Lgain-Neut	2.7719726880753717
sub-62	FixMod	opt3	Lgain-Neut	2.4869837304468567
sub-62	FixMod	opt4	Lgain-Neut	2.4363941538487253
sub-57	AntMod	opt1	Lgain-Neut	10.544658780842457
sub-57	AntMod	opt2	Lgain-Neut	9.768592314149185
sub-57	AntMod	opt3	Lgain-Neut	8.835302660244476
sub-57	AntMod	opt4	Lgain-Neut	8.244805479010896
sub-57	CueMod	opt1	Lgain-Neut	3.0360152369231237
sub-57	CueMod	opt2	Lgain-Neut	2.80545270350616
sub-57	CueMod	opt3	Lgain-Neut	2.467115802707551
sub-57	CueMod	opt4	Lgain-Neut	2.307202712437559
sub-57	FixMod	opt1	Lgain-Neut	3.2217795732648256
sub-57	FixMod	opt2	Lgain-Neut	2.9955192464920204
sub-57	FixMod	opt3	Lgain-Neut	2.7886754843334156
sub-57	FixMod	opt4	Lgain-Neut	2.6060860064495213
