con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.137	0.009
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.2	0.108	0.008
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-8.4	0.075	0.008
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.6	0.145	-0.004
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.8	0.171	0.003
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.171	0.016
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.2	0.156	0.033
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-8.4	0.136	0.05
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.6	0.15	0.052
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.8	0.16	0.068
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.149	0.072
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.2	0.124	0.072
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-8.4	0.093	0.071
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.6	0.153	-0.022
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.8	0.181	-0.028
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.181	-0.019
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.2	0.159	0.005
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-8.4	0.125	0.034
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.6	0.12	-0.037
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.8	0.138	-0.053
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.136	-0.051
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.2	0.118	-0.031
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-8.4	0.092	-0.002
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-3.6	0.179	0.038
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-4.8	0.224	0.051
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.24	0.072
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-7.2	0.233	0.1
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-8.4	0.213	0.131
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.113	-0.025
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.136	-0.031
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.135	-0.019
