path,DLH,RESEL
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt4_mod-FixMod_fwhm-5.0_stat-residuals.nii.gz,0.126173,36.7589
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt4_mod-FixMod_fwhm-4.0_stat-residuals.nii.gz,0.203853,22.7517
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt3_mod-AntMod_fwhm-4.0_stat-residuals.nii.gz,0.195092,23.7733
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-FixMod_fwhm-3.0_stat-residuals.nii.gz,0.264978,17.5033
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-CueMod_fwhm-3.0_stat-residuals.nii.gz,0.271724,17.0687
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-AntMod_fwhm-5.0_stat-residuals.nii.gz,0.0975919,47.5243
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt2_mod-FixMod_fwhm-5.0_stat-residuals.nii.gz,0.068335,67.8713
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt3_mod-CueMod_fwhm-4.0_stat-residuals.nii.gz,0.193303,23.9934
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt4_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.0631584,73.4342
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt1_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.0455934,101.725
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-FixMod_fwhm-4.0_stat-residuals.nii.gz,0.210609,22.0218
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt1_mod-CueMod_fwhm-7.0_stat-residuals.nii.gz,0.0309299,149.952
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-AntMod_fwhm-6.0_stat-residuals.nii.gz,0.0620807,74.709
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-CueMod_fwhm-5.0_stat-residuals.nii.gz,0.0611007,75.9072
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt1_mod-FixMod_fwhm-7.0_stat-residuals.nii.gz,0.0310679,149.286
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-CueMod_fwhm-5.0_stat-residuals.nii.gz,0.102321,45.3278
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt2_mod-AntMod_fwhm-4.0_stat-residuals.nii.gz,0.142694,32.503
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.03666,126.514
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt3_mod-AntMod_fwhm-3.0_stat-residuals.nii.gz,0.312736,14.8303
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt4_mod-AntMod_fwhm-3.0_stat-residuals.nii.gz,0.287823,16.114
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt4_mod-FixMod_fwhm-3.0_stat-residuals.nii.gz,0.340908,13.6048
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-CueMod_fwhm-7.0_stat-residuals.nii.gz,0.0211902,218.874
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt4_mod-CueMod_fwhm-3.0_stat-residuals.nii.gz,0.279151,16.6146
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-CueMod_fwhm-6.0_stat-residuals.nii.gz,0.0624918,74.2175
