con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.046	0.027
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-7.2	0.037	0.024
contrast-Lgain-Neut	mot-opt1	mod-AntMod	fwhm-8.4	0.03	0.022
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-3.6	0.138	0.102
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-4.8	0.125	0.081
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.097	0.063
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-7.2	0.069	0.049
contrast-Lgain-Neut	mot-opt1	mod-CueMod	fwhm-8.4	0.045	0.04
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-3.6	0.248	0.134
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-4.8	0.194	0.109
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.163	0.092
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-7.2	0.137	0.082
contrast-Lgain-Neut	mot-opt1	mod-FixMod	fwhm-8.4	0.114	0.075
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-3.6	0.055	0.039
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-4.8	0.045	0.034
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.037	0.026
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-7.2	0.029	0.02
contrast-Lgain-Neut	mot-opt2	mod-AntMod	fwhm-8.4	0.022	0.016
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-3.6	0.063	0.15
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-4.8	0.069	0.119
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.06	0.087
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-7.2	0.046	0.061
contrast-Lgain-Neut	mot-opt2	mod-CueMod	fwhm-8.4	0.032	0.043
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-3.6	0.252	0.101
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-4.8	0.194	0.086
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.153	0.067
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-7.2	0.119	0.053
contrast-Lgain-Neut	mot-opt2	mod-FixMod	fwhm-8.4	0.092	0.043
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-3.6	0.023	0.007
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-4.8	0.015	0.009
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.012	0.007
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.01	0.006
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.008	0.005
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.0	0.04
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.005	0.038
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.006	0.03
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.006	0.024
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.006	0.02
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.105	0.011
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.068	0.013
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.053	0.01
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.042	0.007
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.034	0.006
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.019	0.009
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.014	0.01
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.01	0.008
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.007	0.006
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.005	0.005
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	-0.031	0.045
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	-0.005	0.041
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	-0.0	0.032
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	-0.001	0.024
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	-0.001	0.019
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.102	0.012
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.058	0.017
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.04	0.013
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.029	0.01
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.023	0.007
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	-0.122	0.02
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	-0.075	0.012
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	-0.042	0.008
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	-0.022	0.006
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	-0.008	0.005
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.183	0.096
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-4.8	0.153	0.103
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-6.0	0.142	0.1
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-7.2	0.135	0.093
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-8.4	0.135	0.088
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-3.6	0.069	0.079
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-4.8	0.084	0.056
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-6.0	0.084	0.048
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-7.2	0.078	0.043
contrast-Sgain-Base	mot-opt1	mod-FixMod	fwhm-8.4	0.07	0.039
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-3.6	-0.111	0.021
contrast-Sgain-Base	mot-opt2	mod-AntMod	fwhm-4.8	-0.062	0.025
