con	motion	model	fwhm	avg_left	avg_right
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-6.0	0.081	0.04
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-7.2	0.087	0.055
contrast-Sgain-Base	mot-opt3	mod-AntMod	fwhm-8.4	0.09	0.063
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-3.6	0.081	-0.009
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-4.8	0.092	0.011
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-6.0	0.099	0.037
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-7.2	0.107	0.066
contrast-Sgain-Base	mot-opt3	mod-CueMod	fwhm-8.4	0.118	0.095
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-3.6	0.03	-0.002
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-4.8	0.031	-0.0
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-6.0	0.031	0.007
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-7.2	0.032	0.019
contrast-Sgain-Base	mot-opt3	mod-FixMod	fwhm-8.4	0.037	0.031
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-3.6	0.054	-0.031
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-4.8	0.074	-0.013
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-6.0	0.09	0.005
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-7.2	0.103	0.02
contrast-Sgain-Base	mot-opt4	mod-AntMod	fwhm-8.4	0.113	0.031
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-3.6	0.098	-0.002
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-4.8	0.119	0.012
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-6.0	0.132	0.029
contrast-Sgain-Base	mot-opt4	mod-CueMod	fwhm-7.2	0.142	0.047
